SERIAL,DATE CREATED,URL,TITLE,DOMAIN,TOPIC,TUTORIAL,TITLE,U.S.,TITLE ID
83,12/22/2014,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic/cc-early-math-recognizing-shapes/e/naming-shapes,Naming shapes,Math,Geometry,Recognizing shapes,naming-shapes,Early math,naming-shapes
84,11/10/2014,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic/cc-early-math-recognizing-shapes/e/naming-shapes-2,Naming shapes 2,Math,Geometry,Recognizing shapes,naming-shapes-2,Early math,naming-shapes-2
85,11/12/2014,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic/cc-early-math-recognizing-shapes/e/compare-shapes,Comparing shapes,Math,Geometry,Recognizing shapes,compare-shapes,Early math,compare-shapes
86,12/15/2014,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic/cc-early-math-recognizing-shapes/e/attributes-of-shapes,Attributes of shapes,Math,Geometry,Recognizing shapes,attributes-of-shapes,Early math,attributes-of-shapes
87,12/18/2014,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic/cc-early-math-recognizing-shapes/e/recognizing-shapes,Recognizing shapes,Math,Geometry,Recognizing shapes,recognizing-shapes,Early math,recognizing-shapes
88,11/13/2014,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic/cc-early-math-composing-shapes/e/compose-shapes,Composing shapes,Math,Geometry,Composing shapes,compose-shapes,Early math,compose-shapes
89,11/10/2014,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic/cc-early-math-composing-shapes/e/halves-and-fourths,Halves and fourths,Math,Geometry,Composing shapes,halves-and-fourths,Early math,halves-and-fourths
90,11/10/2014,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic/cc-early-math-composing-shapes/e/filling-rectangles-with-same-sized-squares,Filling rectangles with same-sized squares,Math,Geometry,Composing shapes,filling-rectangles-with-same-sized-squares,Early math,filling-rectangles-with-same-sized-squares
91,12/12/2014,https://www.khanacademy.org/math/early-math/cc-early-math-geometry-topic/cc-early-math-composing-shapes/e/equal-parts-of-circles-and-rectangles,Equal parts of circles and rectangles,Math,Geometry,Composing shapes,equal-parts-of-circles-and-rectangles,Early math,equal-parts-of-circles-and-rectangles
92,11/8/2014,https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-add-sub-topic/cc-4th-adding/e/addition_4,Addition within 1000,Math,Addition and subtraction,Adding with regrouping within 1000,addition_4,3rd grade (U.S.),addition_4
93,11/21/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-add-sub-topic/cc-3rd-adding-carrying/e/making-100-and-1000,Addition using groups of 10 and 100,Math,Addition and subtraction,Adding with regrouping within 1000,making-100-and-1000,3rd grade (U.S.),making-100-and-1000
94,7/31/2014,https://www.khanacademy.org/math/arithmetic/addition-subtraction/sub_borrowing/e/subtraction_4,Subtraction within 1000,Math,Addition and subtraction,Using regrouping to subtract within 1000,subtraction_4,3rd grade (U.S.),subtraction_4
95,12/3/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-multiplication-di/e/meaning-of-multiplication,Meaning of multiplication,Math,Multiplication and division,Concept of multiplication and division,meaning-of-multiplication,3rd grade (U.S.),meaning-of-multiplication
96,11/21/2014,https://www.khanacademy.org/math/arithmetic/multiplication-division/multiplication_fun/e/multiplication_0.5,Multiplying 1-digit numbers,Math,Multiplication and division,Concept of multiplication and division,multiplication_0.5,3rd grade (U.S.),multiplication_0.5
97,12/21/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-multiplication-di/e/meaning-of-division,Meaning of division,Math,Multiplication and division,Concept of multiplication and division,meaning-of-division,3rd grade (U.S.),meaning-of-division
98,11/21/2014,https://www.khanacademy.org/math/arithmetic/multiplication-division/delightful_division/e/division_0.5,Basic division,Math,Multiplication and division,Concept of multiplication and division,division_0.5,3rd grade (U.S.),division_0.5
99,7/27/2014,https://www.khanacademy.org/math/arithmetic/multiplication-division/delightful_division/e/division_1,1-digit division,Math,Multiplication and division,Concept of multiplication and division,division_1,3rd grade (U.S.),division_1
100,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-multiplication-di/e/relate-division-to-multiplication,Relate division to multiplication,Math,Multiplication and division,Concept of multiplication and division,relate-division-to-multiplication,3rd grade (U.S.),relate-division-to-multiplication
101,11/21/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/solving-basic-multiplication-and-division-equations,Solving basic multiplication and division equations,Math,Multiplication and division,Applying multiplication and division,solving-basic-multiplication-and-division-equations,3rd grade (U.S.),solving-basic-multiplication-and-division-equations
102,12/3/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/relate-division-to-multiplication-word-problems,Relate division to multiplication word problems,Math,Multiplication and division,Applying multiplication and division,relate-division-to-multiplication-word-problems,3rd grade (U.S.),relate-division-to-multiplication-word-problems
103,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/multiplying-by-2,Multiplying by 2,Math,Multiplication and division,Applying multiplication and division,multiplying-by-2,3rd grade (U.S.),multiplying-by-2
104,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/multiplying-by-3,Multiplying by 3,Math,Multiplication and division,Applying multiplication and division,multiplying-by-3,3rd grade (U.S.),multiplying-by-3
105,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/multiplying-by-4,Multiplying by 4,Math,Multiplication and division,Applying multiplication and division,multiplying-by-4,3rd grade (U.S.),multiplying-by-4
106,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/multiplying-by-5,Multiplying by 5,Math,Multiplication and division,Applying multiplication and division,multiplying-by-5,3rd grade (U.S.),multiplying-by-5
107,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/multiplying-by-6,Multiplying by 6,Math,Multiplication and division,Applying multiplication and division,multiplying-by-6,3rd grade (U.S.),multiplying-by-6
108,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/multiplying-by-7,Multiplying by 7,Math,Multiplication and division,Applying multiplication and division,multiplying-by-7,3rd grade (U.S.),multiplying-by-7
109,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/multiplying-by-8,Multiplying by 8,Math,Multiplication and division,Applying multiplication and division,multiplying-by-8,3rd grade (U.S.),multiplying-by-8
110,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/multiplying-by-9,Multiplying by 9,Math,Multiplication and division,Applying multiplication and division,multiplying-by-9,3rd grade (U.S.),multiplying-by-9
111,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/dividing-by-2,Dividing by 2,Math,Multiplication and division,Applying multiplication and division,dividing-by-2,3rd grade (U.S.),dividing-by-2
112,10/25/2014,https://www.khanacademy.org/math/cc-third-grade-math/cc-3rd-mult-div-topic/cc-third-grade-applying-mult-div/e/dividing-by-3,Dividing by 3,Math,Multiplication and division,Applying multiplication and division,dividing-by-3,3rd grade (U.S.),dividing-by-3
